"Date,Tournament,Instance,Rival,Boca_Goals,Rival_Goals,Result,Stadium,Home_or_Away,Win_Draw_Loss"
"2024-01-27,Copa de la Liga,Fecha 1,Platense,0,0,Platense 0 - Boca 0,Platense,Away,D"
"2024-02-01,Copa de la Liga,Fecha 2,Sarmiento,1,1,Boca 1 - Sarmiento (Junín) 1,San Lorenzo de Almagro,Home,D"
"2024-02-05,Copa de la Liga,Fecha 3,Tigre,2,0,Tigre 0 - Boca 2,Tigre,Away,W"
"2024-02-10,Copa de la Liga,Fecha 4,Defensa y Justicia,0,0,Boca 0 - Defensa y Justicia 0,Boca Juniors,Home,D"
"2024-02-14,Copa de la Liga,Fecha 5,C. Córdoba,2,0,Boca 2 - C. Córdoba (SdE) 0,Boca Juniors,Home,W"
"2024-02-18,Copa de la Liga,Fecha 6,Lanús,1,2,Lanús 2 - Boca 1,Lanús,Away,L"
"2024-02-25,Copa de la Liga,Fecha 7,River,1,1,River 1 - Boca 1,River Plate,Away,D"
"2024-03-03,Copa de la Liga,Fecha 8,Belgrano,3,2,Boca 3 - Belgrano (Cba) 2,Boca Juniors,Home,W"
"2024-03-06,Copa de la Liga,Fecha 9,Unión,0,1,Unión (Sta. Fe) 1 - Boca 0,Unión (Santa Fe),Away,L"
"2024-03-10,Copa de la Liga,Fecha 10,Racing,4,2,Boca 4 - Racing 2,Boca Juniors,Home,W"
"2024-03-30,Copa de la Liga,Fecha 12,San Lorenzo,2,1,Boca 2 - San Lorenzo 1,Boca Juniors,Home,W"
"2024-04-06,Copa de la Liga,Fecha 13,Newell’s,3,1,Newell’s 1 - Boca 3,Newell’s Old Boys,Away,W"
"2024-04-12,Copa de la Liga,Fecha 11,Estudiantes,0,1,Estudiantes (LP) 1 - Boca 0,Estudiantes (La Plata),Away,L"
"2024-04-16,Copa de la Liga,Fecha 14,Godoy Cruz,1,0,Boca 1 - Godoy Cruz (Mza.) 0,Boca Juniors,Home,W"
"2024-04-21,Copa de la Liga,Cuartos de Final,River,3,2,Boca 3 - River 2,Mario Kempes,Neutral,W"
"2024-04-30,Copa de la Liga,Semifinal,Estudiantes,1,1,Boca 1 (1) - Estudiantes (LP) 1 (3),Mario Kempes (Córdoba),Neutral,L"
"2024-05-12,Liga Profesional,Fecha 1,Atlético,0,1,Atlético (Tuc) 1 - Boca 0,Atlético (Tucumán),Away,L"
"2024-05-19,Liga Profesional,Fecha 2,C. Córdoba,4,2,C. Córdoba (SdE) 2 - Boca 4,Madre de Ciudades (Santiago),Away,W"
"2024-05-25,Liga Profesional,Fecha 3,Talleres,0,0,Boca 0 - Talleres (Cba) 0,Boca Juniors,Home,D"
"2024-06-02,Liga Profesional,Fecha 4,Platense,0,1,Platense 1 - Boca 0,Platense,Away,L"
"2024-06-14,Liga Profesional,Fecha 5,Vélez,1,0,Boca 1 - Vélez 0,Boca Juniors,Home,W"
"2024-07-21,Liga Profesional,Fecha 6,Defensa y Justicia,2,2,Defensa y Justicia 2 - Boca 2,Defensa y Justicia,Away,D"
"2024-07-28,Liga Profesional,Fecha 8,Instituto,0,0,Instituto (Cba) 0 - Boca 0,Instituto (Córdoba),Away,D"
"2024-07-31,Liga Profesional,Fecha 7,Banfield,3,0,Boca 3 - Banfield 0,Boca Juniors,Home,W"
"2024-08-04,Liga Profesional,Fecha 9,Barracas Central,1,1,Boca 1 - Barracas Central 1,Boca Juniors,Home,D"
"2024-08-10,Liga Profesional,Fecha 10,Ind. Rivadavia,1,1,Ind. Rivadavia (Mza) 1 - Boca 1,Malvinas Argentinas (Mendoza),Away,D"
"2024-08-18,Liga Profesional,Fecha 11,San Lorenzo,3,2,Boca 3 - San Lorenzo 2,Boca Juniors,Home,W"
"2024-08-26,Liga Profesional,Fecha 12,Estudiantes,1,1,Estudiantes (LP) 1 - Boca 1,Estudiantes (La Plata),Away,D"
"2024-08-31,Liga Profesional,Fecha 13,R. Central,2,1,Boca 2 - R. Central 1,Boca Juniors,Home,W"
"2024-09-14,Liga Profesional,Fecha 14,Racing,1,2,Racing 2 - Boca 1,Racing Club,Away,L"
"2024-09-21,Liga Profesional,Fecha 15,River,0,1,Boca 0 - River 1,Boca Juniors,Home,L"
"2024-09-28,Liga Profesional,Fecha 16,Belgrano,0,2,Belgrano (Cba) 2 - Boca 0,Belgrano (Córdoba),Away,L"
"2024-10-06,Liga Profesional,Fecha 17,Argentinos,1,0,Boca 1 - Argentinos 0,Boca Juniors,Home,W"
"2024-10-19,Liga Profesional,Fecha 18,Tigre,0,3,Tigre 3 - Boca 0,Tigre,Away,L"
"2024-10-27,Liga Profesional,Fecha 19,Dep. Riestra,1,1,Boca 1 - Dep. Riestra 1,Boca Juniors,Home,D"
"2024-11-03,Liga Profesional,Fecha 20,Lanús,0,1,Lanús 1 - Boca 0,Lanús,Away,L"
"2024-11-06,Liga Profesional,Fecha 21,Godoy Cruz,4,1,Boca 4 - Godoy Cruz (Mza.) 1,Boca Juniors,Home,W"
"2024-11-10,Liga Profesional,Fecha 22,Sarmiento,2,0,Sarmiento (Junín) 0 - Boca 2,Sarmiento (Junín),Away,W"
"2024-11-20,Liga Profesional,Fecha 23,Unión,1,0,Boca 1 - Unión (Sta. Fe) 0,Boca Juniors,Home,W"
"2024-11-23,Liga Profesional,Fecha 24,Huracán,0,0,Huracán 0 - Boca 0,Huracán,Away,D"
"2024-12-01,Liga Profesional,Fecha 25,Gimnasia,1,0,Boca 1 - Gimnasia (LP) 0,Boca Juniors,Home,W"
"2024-12-08,Liga Profesional,Fecha 26,Newell’s,1,0,Newell’s 0 - Boca 1,Newell’s Old Boys,Away,W"
"2024-12-14,Liga Profesional,Fecha 27,Independiente,0,0,Boca 0 - Independiente 0,Boca Juniors,Home,D"
